quote,speaker,episode,Tags
There’s no geographical solution to an emotional problem.,Tony Soprano,S2 E13,"Depression, Mental Health, Place"
They’re dropping like fucking flies. It’s all that charcoal-broiled meat you people ate. Nobody told us till the 80s!,Uncle Junior,S3 E2,Food
"Those who want respect, give respect.",Tony Soprano,S2 E12,"Power, Respect"
"Tony Soprano, Original G. Yeah, whatever.",Da Lux,S6 E4,"Business, Status"
"Trees, ducks. What the fuck are you, Ranger Rick?",Tony Soprano,S1 E1,"Pop Culture, History, Insult, Crude Humor, Nature"
We go way back to when Moses wore short pants.,Uncle Junior,S1 E13,"Religion, Comedy"
We’re soldiers. Soldiers don’t go to hell.,Tony Soprano,S2 E9,"Power, Respect, Religion, Duty, Violence"
"We worry so much sometimes it feels like that’s all we do. But in the end it gets washed away. All of it, just washed away.",Carmela Soprano,S6 E11,"Depression, Mental Health, Negativity"
Well in the future I ask that you extend to me the same courtesy as a crack addict.,Dr. Jennifer Melfi,S4 E7,"Health, Conversation"
What do I find in a pork store? A bunch of guys beating their meat.,Tony Blundetto,S5 E3,Food
"What do they eat, tabooli?",Christopher Moltisanti,S6 E1,Food
What do you wanna talk about? Fucking Dick Barone. Well as long as the two of you are happy.,Tony Soprano,S2 E10,"Insult, Crude Humor, Conversation, Sex"
"What kind of person can I be, where his own mother wants him dead?",Tony Soprano,S1 E13,"Family, Violence"
"What, your father never cut off anybody’s pinky?",Tony Soprano,S3 E3,Family
"Whatever you do, do not engage Silvio in conversation.",Christopher Moltisanti,,Conversation
"When my time comes, tell me: will I stand up?",Paulie Gualtieri,S6 E15,"Confusion, Comedy"
Where'd they get this bread? The bread museum?,Silvio Dante,S6 E1,"Food, Comedy"
"Who am I, Mark Fuhrman over here?",Christopher Moltisanti,S1 E8,"Pop Culture, History"
Who's welfare check you gotta cash to get a burger here?,Christopher Moltisanti,,"Food, Money"
"Why'd they send you over, I'm lookin for a burger, not converted rice.",Christopher Moltisanti,,"Food, Comedy"
"Wonderful, I don't go down enough. That's not what I heard.",Uncle Junior,,Sex
"You don’t have to love me, but you will respect me.",Tony Soprano,S3 E12,"Power, Respect, Love"
You don’t understand.,Tony Soprano,S3 E13,Comedy
You got any idea what my life would be worth if certain people found out I checked into a laughing academy?,Tony Soprano,S1 E12,"Confusion, Comedy"
You got any thoughts? What else do I have left?,Tony Soprano,S3 E8,Conversation
You gotta bee onna your hat.,Furio Giunta,S2 E4,"Nature, Animals, Clothes, Comedy"
"You hear that, T? I asked if he remembers his first blowjob. He says ya, so I says ""how long did it take the guy to cum?"" Hehehe.",Paulie Gualtieri,S2 E3,"Insult, Crude Humor, Sex"
"You’ll never leave your wife. She might leave you, but you’ll never leave her.",Dr. Jennifer Melfi,S3 E9,Family
You motherfucker! You shot me in my foot! It happens.,Bakery worker,S1 E8,Violence
"You’re both very angry. Yeah, you must’ve been at the top of your fucking class.",Dr. Jennifer Melfi,S3 E5,"Depression, Mental Health"
You’re five fucking time-zones behind your own ass.,Silvio Dante,S1 E9,"Insult, Crude Humor"
You're flexinnnng,Richie Aprile,,Comedy
"You’re looking at them, asshole.",Tony Soprano,,"Insult, Crude Humor"
You’re not gonna believe this. He killed 16 Czechoslovakians. Guy was an interior decorator. His house looked like shit.,Paulie Gualtieri,S3 E11,"Insult, Crude Humor, Violence, Comedy"
"You say sign, I sign. You tell me to take a crap on the deck of the Queen Mary, an hour later they’re hosing it down with disinfectant.",Uncle Junior,S3 E7,Comedy
You see I never could please my mother.,Tony Soprano,S6 E21,Family
You shoulda called your sponsor before you bought that jacket.,Raymond Curto,S6 E1,Clothes
"You steer the ship the best way you know. Sometimes it’s smooth. Sometimes you hit the rocks. In the meantime, you find your pleasures where you can.",Uncle Junior,S3 E8,"Optimism, Self-Help, Duty, Negativity"
"You strong-armed me, using the only weapon you have: your pussy.",Bob Wegler,S5 E6,"Insult, Crude Humor, Sex, Violence"
"You want compromise? Twenty years in the can, I wanted manicott. I compromised. I ate grilled cheese off the radiator instead.",Phil Leotardo,S6 E14,"Food, Power, Respect"
"Your kids, though… it’s like when they’re little, and they get sick. You’d give anything in the world to trade places with them, so they don’t have to suffer!",Tony Soprano,S6 E17,"Depression, Mental Health, Family, Health"
Your thoughts have an Eastern flavor to them. I’ve lived in Jersey my whole life.,Dr. Jennifer Melfi,S3 E9,"Place, Conversation"
"You know, Quasimodo predicted all this",Bobby Bacala,S4 E1,"Place, Conversation"
Stupida fucking game,Furio Giunta,S3 E7,Golf
"Your brother, Billy, whatever happened there...",Carmine Lupertazzi,S6 E 12,"Brother, brothers"
"The fundamental question is, will I be as effective as a boss like my dad was? And I will be, even more so? But until I am, it's going to be hard to verify that I think I'll be more effective.",Carmine Lupertazzi,S5 E9,"Leadership, boss, management"
It wasn't about being boss. It was about being happy.,Carmine Lupertazzi,S6 E14,"Happiness, thoughtfulness, psychology "
"I am reminded of Louis the whatever's finance minister...he built this chateau — Nicole and I saw it when we went to Paris — it even outshone Versailles, where the king lived. In the end, Louis clapped him in irons.",Carmine Lupertazzi,S4 E11,Nonsense
"He's an old-fashioned guy, Pop, very allegorical",Carmine Lupertazzi,S4 E12,"Description, old man, old guy, man"
"He's a bit of a poseur, you ask me.",Carmine Lupertazzi,S4 E12,"Description, man, person"
"Much like a child, a film has many parents, that is to say, many individuals who act like parents...or that by a version, the film is their baby. I, as an executive producer, am one of those individuals.",Carmine Lupertazzi,S6 E14,"Movies, film"
"If there's one thing my father taught me, it's this: A pint of blood costs more than a gallon of gold.""",Carmine Lupertazzi,S6 E12,"Quotes, advice, knowledge, leadership"
“A. She was a hoowah. B. She hit me.”,Ralph Cifaretto,S3 E6,"Women, fights, rebuttal, punch"
“Why didn’t you just leave some out? I love cheese at my feet!”,Silvio Dante,S2 E6,
“I’ll have a Fresca.”,Ralph Cifaretto,S3 E11,"Drinks, soda, food, ordering"
"“And I know it’s tough on ya, I’m the guy that’s dating your mom.”",Ralph Cifaretto,S3 E12,"Moms, dating"
"“You know, I don’t understand you, Anthony. We got lucky.”",Ralph Cifaretto,S4 E9,"Lucky, winning, betting"
"“It was a fin’ horse! What are you, a vegetarian? You eat beef and sausage by the fin’ carload!”",Ralph Cifaretto,S4 E9,"Horses, horse racing, insults, animals"
"“No, I did not! But so what?!”",Ralph Cifaretto,S4 E9,Rebuttal
"“She was a beautiful, innocent creature. What’d she ever do to you?”",Ralph Cifaretto,S4 E9,"Compliments, animals, pets"
It's like the fuckin' regularness of everyday life is too hard for me,Christopher Moltisanti, S1 E8," depression, addiction, boredom, existential dread, ordinary life"
What's next - he get's to fuck her for a million!?!,Johnny Sack, S4 E4," anger, insult, honor, disrespect, revenge"
"But I've been good to you, and you pay me back, with non-stop ass rape!",Artie Bucco, S6 E7," betrayal, workplace anger, resentment, humiliation, exploitation"
It won't be cinematic.,Patsy Parisi, S3 E12," threat, intimidation, revenge, fear, warning"
You want to know what that crazy broad wanted to do to me? She wanted to stick a dildo up my ass and pretend to be pimping me out. I told her GET THE FUCK OUTTA HERE!!! That whole family is sick!,Ralph Cifaretto, S4 E4," sexual humiliation, disgust, family dysfunction, denial, vulgarity"
We found him in a public men's room in Lafayette Park. I don't know how to put this delicately. He was sucking a cub scouts dick,Ralph Cifaretto, S4 E9," prank call, revenge, humiliation, vulgarity, cruelty"
I hear Ginny Sack is having a 90-pound mole taken off her ass,Ralph Cifaretto, S4 E2," insult, body shaming, fat, disrespect, mob humor, conflict"
THEY DIDN'T HAVE FLAT TOPS IN ANCIENT ROME!,Ralph Cifaretto, S3 E6," movie criticism, absurdity, ancient Rome, masculinity, comedy"
Why was I born handsome instead of rich?,Ralph Cifaretto, S3 E6," vanity, money, insecurity, humor, self-image"
I'm earnin' with three hands here and it's still not good enough for this cocksucker.,Ralph Cifaretto, S3 E8," resentment, earning, disrespect, mob hierarchy, frustration"
If you brought along a pair of dirty chef whites my friend here will suck out the stains for ya,Ralph Cifaretto, S4 E6," insult, restaurant humor, humiliation, vulgarity, mockery"
"Hi, this is Detective Mike Hunt, Beaver Falls, Pennsylvania police department. You have a son Peter Paul?",Ralph Cifaretto, S4 E9," prank call, cruelty, humiliation, deception, vulgarity"
"A gerbil, ma'am.",Ralph Cifaretto, S4 E9," prank call, humiliation, vulgarity, absurdity, cruelty"
"Ma'am, I wish that was all, but I'm afraid we had to have emergency surgery performed upon arrival at headquarters, after discovery of a small rodent in the rectal passage.",Ralph Cifaretto, S4 E9," prank call, humiliation, absurdity, cruelty, vulgarity"
A. She was a hooah. B. She hit me.,Ralph Cifaretto, S3 E8," denial, cruelty, misogyny, excuse-making, violence"
And that wasn't my kid she was carrying.,Ralph Cifaretto, S3 E8," denial, cruelty, pregnancy, blame, violence"
I was doing a lot of coke at the time.,Ralph Cifaretto, S3 E8," excuse-making, addiction, denial, violence, apology"
"What are you, a vegetarian? You eat beef and sausage by the fucking carload.",Ralph Cifaretto, S4 E9," insult, anger, cruelty, body shaming, confrontation"
It's my fault she's a klutz?,Ralph Cifaretto, S3 E6," denial, blame, cruelty, violence, deflection"
"What is this, a handsome contest?",Ralph Cifaretto, S3 E6," vanity, flirting, humor, arrogance, charm"
That way the macaroni absorbs the gravy instead of just coats it.,Ralph Cifaretto, S3 E9," food, cooking, advice, domesticity, Italian culture"
"I represent a group of concerned citizens who are very upset about this protest you're spearheading, no puns intended.",Ralph Cifaretto, S4 E3," intimidation, protest, threat, racism, mockery"
Who's he think's keeping that fat bitch in Devil Dogs anyway?,Ralph Cifaretto, S4 E4," resentment, disrespect, money, body shaming, conflict"
Cause if you don't pay me back I ain't gonna be able to hurt you.,Ralph Cifaretto, S4 E6," debt, threat, violence, intimidation, money"
All this over some dead hooah?,Ralph Cifaretto, S3 E8," cruelty, denial, misogyny, violence, resentment"
Fuck him and his turkey. I oughta shove a drumstick up his ass.,Ralph Cifaretto, S3 E8," anger, disrespect, Thanksgiving, rebellion, insult"
What? You think I'm afraid of that fat fuck?,Ralph Cifaretto, S3 E8," anger, defiance, disrespect, arrogance, conflict"
Don't get fucking filthy about it.,Ralph Cifaretto, S3 E8," sex, discomfort, humor, boundaries, vulgarity"
I have come to reclaim Rome for my people.,Ralph Cifaretto, S3 E6," Gladiator, fantasy, arrogance, Roman history, comedy"
"Tomorrow I can be on time, but you'll be stupid forever.",Ralph Cifaretto, S3 E13," insult, wit, disrespect, arrogance, comeback"
"A real lack of standards, your generation.",Ralph Cifaretto, S4 E2," judgment, insult, generational criticism, hypocrisy, disrespect"
You yap worse than six barbers.,Uncle Junior, S1 E9," annoyance, insult, impatience, humor, criticism"
So what? No fuckin ziti now?,AJ Soprano, S1 E1," family dinner, disappointment, food, comedy, teenage attitude"
You look like a Puerto Rican whore.,Phil Leotardo, S6 E16," shame, family conflict, masculinity, cruelty, judgment, disgust"
"WHAT IS THIS, THE FUCKIN' UN NOW?!",Johnny Sack, S5 E13," anger, negotiation, disagreement, mob politics, frustration, authority"
I'm the motherfuckin fuckin one who calls the shots.,Tony Soprano, S2 E3," authority, dominance, leadership, respect, intimidation"
You got a bee on your hat.,Furio Giunta, S3 E7," golf, intimidation, comedy, menace, absurdity"
"Take it easy, we're not making a Western here.",Uncle Junior, S1 E8," caution, violence, restraint, mob strategy, humor"
No scraps in my scrapbook.,Phil Leotardo, S6 E20," revenge, finality, pride, ruthlessness, mob politics"
You have a problem besides those fucking pants?,Paulie Gualtieri, S3 E5," insult, intimidation, fashion, annoyance, threat"
Sharp as a cue ball.,Uncle Junior, S3 E8," insult, stupidity, sarcasm, judgment, mockery"
I'm with the Vipers!,Christopher Moltisanti, S6 E9," panic, robbery, biker gang, comedy, adrenaline"
He's got tremendous moxie for his size.,Uncle Junior, S1 E2," respect, toughness, leadership, size, mob judgment"
You're supposed to push Webistics!,Christopher Moltisanti, S2 E7," stock scam, pressure, intimidation, crime, business, stocks, market"
It's all a big nothing. What makes you so special?,Livia Soprano, S2 E12," nihilism, depression, cruelty, family, despair"
Timeline got fucked up.,Silvio Dante, S3 E8," excuse, violence, mob cleanup, deflection, absurdity, time, late"
"Fuck the tomatoes, I'll take the scarole.",Feech La Manna, S5 E4," money, greed, old-school, food, priorities"
"All due respect, you got no fucking idea what it's like to be number one. Every decision you make affects every facet of every other fucking thing. It's too much to deal with almost. And in the end, you're completely alone with it all.",Tony Soprano, S5 E13," leadership, loneliness, pressure, authority, responsibility"
"You call or go anywhere near him or his family, they'll be scraping your nipples off these fine leather seats. And here's the point to remember: my face will be the last one you see, not Tony's. We understand each other? It won't be cinematic.",Patsy Parisi, S3 E11," threat, intimidation, revenge, fear, warning"
I put the grief behind me. Let me hear you say it.,Tony Soprano, S2 E9," grief, control, intimidation, loyalty, suppression"
You ever feel like nothing good was ever gonna happen to you?,Christopher Moltisanti, S1 E8," depression, survival, hopelessness, acceptance, resilience"
I'm like King Midas in reverse. Everything I touch turns to shit.,Tony Soprano, S1 E12," depression, failure, self-loathing, despair, guilt"
